Name,Nestbox,Section,Number,Longitude,Latitude,Grid Ref
Nestbox WW5, WW5,ww,5,-1.275694159,51.7177343,SP5013402360
Nestbox WW50, WW50,ww,50,-1.272826393,51.71964073,SP5033002574
Nestbox WW51, WW51,ww,51,-1.272693525,51.71980175,SP5033902592
Nestbox WW52, WW52,ww,52,-1.272907331,51.72000988,SP5032402615
Nestbox WW53, WW53,ww,53,-1.273202714,51.72007788,SP5030402622
Nestbox WW54, WW54,ww,54,-1.27323492,51.72034458,SP5030102652
Nestbox WW55, WW55,ww,55,-1.272727722,51.72037741,SP5033602656
Nestbox WW56, WW56,ww,56,-1.272418123,51.72072615,SP5035702695
Nestbox WW57, WW57,ww,57,-1.272363974,51.72049204,SP5036102669
Nestbox WW58, WW58,ww,58,-1.272238172,51.72021254,SP5037002638
Nestbox WW59, WW59,ww,59,-1.272545172,51.72002562,SP5034902617
Nestbox WW6, WW6,ww,6,-1.275418003,51.71780453,SP5015302368
Nestbox WW60, WW60,ww,60,-1.271939685,51.71986902,SP5039102600
Nestbox WW61, WW61,ww,61,-1.271734151,51.72004757,SP5040502620
Nestbox WW62, WW62,ww,62,-1.271863413,51.72011131,SP5039602627
Nestbox WW63, WW63,ww,63,-1.27527725,51.71835123,SP5016202429
Nestbox WW64, WW64,ww,64,-1.275336116,51.71930557,SP5015702535
Nestbox WW65, WW65,ww,65,-1.273742371,51.7197355,SP5026702584
Nestbox WW66, WW66,ww,66,-1.273512276,51.71936031,SP5028302542
Nestbox WW67, WW67,ww,67,-1.2740766,51.71840766,SP5024502436
Nestbox WW7, WW7,ww,7,-1.274998829,51.71776598,SP5018202364
Nestbox WW8, WW8,ww,8,-1.274784593,51.71758483,SP5019702344
Nestbox WW9, WW9,ww,9,-1.274336617,51.71753711,SP5022802339
Nestbox CC6, CC6,cc,6,-1.318861,51.754013,SP4711406366
Nestbox CC7, CC7,cc,7,-1.320271,51.754435,SP4701706412
Nestbox CC8, CC8,cc,8,-1.320942,51.753774,SP4697106338
Nestbox CC9, CC9,cc,9,-1.322004,51.753568,SP4689806315
Nestbox SC6, SC6,sc,6,-1.317643,51.753953,SP4719806360
Nestbox SC7, SC7,sc,7,-1.316983,51.754033,SP4724406370
Nestbox SC8, SC8,sc,8,-1.317836,51.753309,SP4718606289
Nestbox SC9, SC9,sc,9,-1.317257,51.753034,SP4722606258
