Rtype,Ring,Spec,Age,Sex,Date,Place,Site,Find,Circumstance,Text,Wing,Wt,Init,Blmtd,Bill,Bdmtd,Billd,Tsmtd,Tarsus,Fat,Fatmtd,Pec,Pulaliv,Pulring
N,BZD6517,BLUTI,5,F,07/01/2026  09:30:00,WYT,LOG 2C,,,,61.0,10.7,KMM,,,,,M,18.6,,,,,
N,BZD6518,BLUTI,5,M,07/01/2026  09:30:00,WYT,LOG 2C,,,,64.0,11.2,KMM,,,,,M,19.6,,,,,
N,BZD6519,BLUTI,5,F,07/01/2026  09:30:00,WYT,LOG 2C,,,,62.0,11.2,KMM,,,,,M,19.9,,,,,
N,BZD6520,BLUTI,5,M,07/01/2026  09:30:00,WYT,LOG 2C,,,,63.5,10.3,KMM,,,,,M,19.8,,,,,
N,BZD6521,BLUTI,5,F,07/01/2026  10:09:59,WYT,LOG 2C,,,,61.0,10.3,KMM,,,,,M,18.4,,,,,
N,BZD6522,BLUTI,5,F,07/01/2026  10:09:59,WYT,LOG 2C,,,,64.0,11.7,KMM,,,,,M,19.2,,,,,
N,BZD6523,BLUTI,5,F,07/01/2026  10:09:59,WYT,LOG 2C,,,,63.0,10.6,KMM,,,,,M,19.2,,,,,
N,BZD6524,BLUTI,5,M,07/01/2026  10:09:59,WYT,LOG 2C,,,,64.0,11.3,KMM,,,,,M,19.5,,,,,
N,BZD6525,BLUTI,5,M,07/01/2026  10:09:59,WYT,LOG 2C,,,,66.0,11.0,KMM,,,,,M,19.7,,,,,
N,BZD6526,COATI,5,,07/01/2026  10:09:59,WYT,LOG 2C,,,,60.0,8.7,KMM,,,,,,,,,,,
N,BZD6527,COATI,5,,07/01/2026  10:09:59,WYT,LOG 2C,,,,58.0,8.1,KMM,,,,,,,,,,,
N,BZD6528,BLUTI,5,M,07/01/2026  10:40:00,WYT,LOG 2C,,,,66.0,12.1,KMM,,,,,M,19.5,,,,,
N,BZD6529,BLUTI,5,F,07/01/2026  10:40:00,WYT,LOG 2C,,,,61.0,10.9,KMM,,,,,M,18.3,,,,,
N,BZD6530,BLUTI,5,F,07/01/2026  10:40:00,WYT,LOG 2C,,,,62.0,10.7,KMM,,,,,M,18.5,,,,,
N,BZD6531,BLUTI,5,M,07/01/2026  10:40:00,WYT,LOG 2C,,,,64.0,11.6,KMM,,,,,M,19.0,,,,,
N,BZD6532,MARTI,6,,07/01/2026  10:40:00,WYT,LOG 2C,,,,62.0,11.3,KMM,,,,,M,18.6,,,,,
N,BZD6533,BLUTI,5,F,07/01/2026  10:40:00,WYT,LOG 2C,,,,62.0,11.0,KMM,,,,,M,18.6,,,,,
N,BZD6534,BLUTI,5,M,07/01/2026  11:19:59,WYT,LOG 2C,,,,64.0,11.2,KMM,,,,,M,19.3,,,,,
N,BZD6535,BLUTI,5,M,07/01/2026  11:19:59,WYT,LOG 2C,,,,66.0,12.1,KMM,,,,,M,19.7,,,,,
N,BZD6536,BLUTI,5,M,07/01/2026  11:19:59,WYT,LOG 2C,,,,63.0,11.5,KMM,,,,,M,19.7,,,,,
N,BZD6537,BLUTI,5,M,14/01/2026  08:29:59,WYT,LOG 2C,,,,63.0,11.4,CJA,,,,,M,19.1,,,,,
N,BZD6538,BLUTI,5,M,14/01/2026  08:29:59,WYT,LOG 2C,,,,64.0,11.3,KMM,,,,,M,19.8,,,,,
N,BZD6539,BLUTI,5,F,14/01/2026  08:29:59,WYT,LOG 2C,,,,61.0,,KMM,,,,,M,18.5,,,,,
N,BZD6540,CHAFF,6,F,14/01/2026  08:29:59,WYT,LOG 2C,,,,82.0,20.3,CJA,,,,,,,,,,,
N,BZD6541,MARTI,5,F,14/01/2026  08:29:59,WYT,LOG 2C,,,,60.0,10.3,KMM,,,,,M,18.6,,,,,
N,BZD6542,BLUTI,5,F,14/01/2026  08:29:59,WYT,LOG 2C,,,,59.0,9.8,KMM,,,,,M,18.0,,,,,
N,BZD6543,BLUTI,5,F,14/01/2026  08:29:59,WYT,LOG 2C,,,,61.0,10.7,KMM,,,,,M,18.5,,,,,
N,BZD6544,BLUTI,5,M,14/01/2026  08:29:59,WYT,LOG 2C,,,,65.0,10.8,CJA,,,,,M,18.9,,,,,
N,BZD6545,BLUTI,5,M,14/01/2026  08:29:59,WYT,LOG 2C,,,,66.0,,KMM,,,,,M,19.3,,,,,
N,BZD6546,BLUTI,5,F,14/01/2026  08:29:59,WYT,LOG 2C,,,,62.0,11.1,CJA,,,,,M,18.5,,,,,
N,BZD6547,MARTI,5,,14/01/2026  08:29:59,WYT,LOG 2C,,,,61.0,10.8,SJC,,,,,M,19.1,,,,,
N,BZD6548,BLUTI,5,F,14/01/2026  08:29:59,WYT,LOG 2C,,,,64.0,11.0,SPK,,,,,M,18.9,,,,,
N,BZD6549,BLUTI,5,M,14/01/2026  08:29:59,WYT,LOG 2C,,,,65.0,11.2,SJC,,,,,M,19.6,,,,,
N,BZD6550,BLUTI,5,F,14/01/2026  08:29:59,WYT,LOG 2C,,,,63.0,11.0,SPK,,,,,M,18.4,,,,,
N,BZD6551,BLUTI,5,M,14/01/2026  08:29:59,WYT,LOG 2C,,,,64.0,11.5,SJC,,,,,M,20.0,,,,,
N,BZD6552,BLUTI,5,F,14/01/2026  08:29:59,WYT,LOG 2C,,,,61.0,9.4,SJC,,,,,M,17.6,,,,,
N,BZD6553,BLUTI,5,F,14/01/2026  08:29:59,WYT,LOG 2C,,,,59.0,10.3,SPK,,,,,M,18.7,,,,,
N,BZD6554,BLUTI,5,M,14/01/2026  08:29:59,WYT,LOG 2C,,,,64.0,11.5,SJC,,,,,M,18.9,,,,,
N,BZD6555,BLUTI,5,M,14/01/2026  08:29:59,WYT,LOG 2C,,,,63.0,,SPK,,,,,M,19.7,,,,,
N,BZD6556,BLUTI,5,M,14/01/2026  08:29:59,WYT,LOG 2C,,,,65.0,11.2,CJA,,,,,M,19.2,,,,,
N,BZD6558,BLUTI,5,M,14/01/2026  08:29:59,WYT,LOG 2C,,,,60.0,10.4,SPK,,,,,M,19.0,,,,,
N,BZD6559,BLUTI,5,M,14/01/2026  08:29:59,WYT,LOG 2C,,,,63.0,11.6,CJA,,,,,M,19.4,,,,,
N,PPA980,GOLDC,4,M,14/01/2026  10:30:00,WYT,LOG 2C,,,,53.0,5.3,CJA,,,,,,,,,,,
N,BZD6560,COATI,5,,14/01/2026  10:30:00,WYT,LOG 2C,,,,61.0,8.6,SJC,,,,,,,,,,,
N,BZD6561,BLUTI,5,F,14/01/2026  10:30:00,WYT,LOG 2C,,,,64.0,11.0,CJA,,,,,M,18.0,,,,,
N,BZD6562,BLUTI,5,F,20/01/2026  10:40:00,WYT,LOG 7A,,,,62.0,10.1,CJA,,,,,M,18.0,,,,,
N,BZD6563,BLUTI,5,M,20/01/2026  10:40:00,WYT,LOG 7A,,,,66.0,11.1,MMM,,,,,M,19.9,,,,,
N,BZD6564,BLUTI,5,F,20/01/2026  10:40:00,WYT,LOG 7A,,,,64.0,11.7,CJA,,,,,M,18.5,,,,,
N,BZD6565,BLUTI,5,F,20/01/2026  10:40:00,WYT,LOG 7A,,,,63.0,11.0,MMM,,,,,M,19.1,,,,,
N,BZD6566,BLUTI,5,F,20/01/2026  10:40:00,WYT,LOG 7A,,,,64.0,10.9,CJA,,,,,M,19.1,,,,,
N,BZD6567,BLUTI,5,F,20/01/2026  10:40:00,WYT,LOG 7A,,,,60.0,9.6,CJA,,,,,M,17.9,,,,,
N,BZD6568,BLUTI,5,F,20/01/2026  11:45:00,WYT,LOG 7A,,,,61.0,10.8,MMM,,,,,M,19.3,,,,,
N,BZD6569,BLUTI,6,M,20/01/2026  11:45:00,WYT,LOG 7A,,,,64.0,10.8,CJA,,,,,M,18.4,,,,,
N,BZD6570,BLUTI,5,F,20/01/2026  11:45:00,WYT,LOG 7A,,,,60.0,10.4,CJA,,,,,M,18.9,,,,,
N,BZD6571,BLUTI,5,F,20/01/2026  11:45:00,WYT,LOG 7A,,,,59.0,10.5,MMM,,,,,M,19.4,,,,,
N,BZD6572,BLUTI,5,F,20/01/2026  11:45:00,WYT,LOG 7A,,,,61.0,9.8,CJA,,,,,M,19.1,,,,,
N,BZD6573,BLUTI,5,F,20/01/2026  11:45:00,WYT,LOG 7A,,,,63.0,10.7,KMM,,,,,M,18.6,,,,,
N,BZD6574,BLUTI,5,M,20/01/2026  11:45:00,WYT,LOG 7A,,,,64.0,11.4,CJA,,,,,M,18.2,,,,,
N,BZD6575,BLUTI,5,M,20/01/2026  11:45:00,WYT,LOG 7A,,,,64.0,10.9,MMM,,,,,M,19.2,,,,,
N,BZD6576,BLUTI,5,F,20/01/2026  11:45:00,WYT,LOG 7A,,,,61.0,10.8,CJA,,,,,M,19.5,,,,,
N,BZD6577,BLUTI,5,M,20/01/2026  11:45:00,WYT,LOG 7A,,,,63.0,11.6,KMM,,,,,M,19.9,,,,,
N,BZD6578,BLUTI,5,M,20/01/2026  11:45:00,WYT,LOG 7A,,,,64.0,10.7,CJA,,,,,M,18.8,,,,,
N,BZD6579,BLUTI,5,M,28/01/2026  08:29:59,WYT,LOG 7D,,,,63.0,11.4,AEW,,,,,M,20.1,,,,,
N,BZD6580,BLUTI,5,F,28/01/2026  08:29:59,WYT,LOG 7D,,,,62.0,10.8,CJA,,,,,M,19.0,,,,,
N,BZD6581,BLUTI,6,F,28/01/2026  08:29:59,WYT,LOG 7D,,,,64.0,10.7,AEW,,,,,M,19.8,,,,,
N,BZD6582,BLUTI,5,F,28/01/2026  08:29:59,WYT,LOG 7D,,,,61.0,10.3,CJA,,,,,M,19.1,,,,,
N,BZD6583,BLUTI,5,M,28/01/2026  09:40:00,WYT,LOG 7D,,,,62.0,10.5,CJA,,,,,M,19.5,,,,,
N,BZD6584,BLUTI,5,F,28/01/2026  09:40:00,WYT,LOG 7D,,,,61.0,11.0,AEW,,,,,M,18.5,,,,,
N,BZD6585,BLUTI,5,F,28/01/2026  09:40:00,WYT,LOG 7D,,,,63.0,10.2,CJA,,,,,M,18.8,,,,,
N,BZD6586,BLUTI,5,M,28/01/2026  09:40:00,WYT,LOG 7D,,,,66.0,11.1,AEW,,,,,M,19.4,,,,,
N,BZD6587,BLUTI,5,M,28/01/2026  09:40:00,WYT,LOG 7D,,,,65.0,11.1,AEW,,,,,M,19.9,,,,,
N,BZD6588,BLUTI,5,M,28/01/2026  09:40:00,WYT,LOG 7D,,,,64.0,11.1,CJA,,,,,M,18.8,,,,,
N,BZD6589,BLUTI,5,F,28/01/2026  09:40:00,WYT,LOG 7D,,,,60.0,10.1,AEW,,,,,M,18.6,,,,,
N,BZD6590,ROBIN,6,,28/01/2026  09:40:00,WYT,LOG 7D,,,,71.0,19.5,CJA,,,,,,,,,,,
N,BZD6591,BLUTI,5,F,28/01/2026  09:40:00,WYT,LOG 7D,,,,61.0,10.6,AEW,,,,,M,18.9,,,,,
N,BZD6592,BLUTI,5,F,28/01/2026  09:40:00,WYT,LOG 7D,,,,62.0,10.1,CJA,,,,,M,18.1,,,,,
N,BZD6593,BLUTI,5,F,28/01/2026  09:40:00,WYT,LOG 7D,,,,63.0,,CJA,,,,,M,18.3,,,,,
N,BZD6594,BLUTI,5,M,28/01/2026  09:40:00,WYT,LOG 7D,,,,61.0,9.9,AEW,,,,,M,18.0,,,,,
N,BZD6595,BLUTI,5,M,28/01/2026  09:40:00,WYT,LOG 7D,,,,62.0,11.3,IMB,,,,,M,18.4,,,,,
N,BZD6596,BLUTI,5,F,28/01/2026  09:40:00,WYT,LOG 7D,,,,64.0,10.4,CJA,,,,,M,19.3,,,,,
N,BZD6597,BLUTI,5,M,28/01/2026  09:40:00,WYT,LOG 7D,,,,65.0,11.0,AEW,,,,,M,19.2,,,,,
N,BZD6598,BLUTI,5,F,28/01/2026  09:40:00,WYT,LOG 7D,,,,59.0,10.6,DLI,,,,,M,18.2,,,,,
N,BZD6599,BLUTI,5,M,28/01/2026  09:40:00,WYT,LOG 7D,,,,64.0,10.6,AEW,,,,,M,19.5,,,,,
N,BZD6600,BLUTI,5,F,28/01/2026  09:40:00,WYT,LOG 7D,,,,64.0,11.3,DLI,,,,,M,19.7,,,,,
N,BZD1124,BLUTI,5,F,28/01/2026  09:40:00,WYT,LOG 7D,,,,60.0,10.4,CJA,,,,,M,18.7,,,,,
N,BZD1125,BLUTI,5,F,28/01/2026  09:40:00,WYT,LOG 7D,,,,62.0,10.2,AEW,,,,,M,19.1,,,,,
N,BZD1126,BLUTI,5,M,28/01/2026  09:40:00,WYT,LOG 7D,,,,63.0,10.6,CJA,,,,,M,19.1,,,,,
N,BZD1127,BLUTI,5,M,28/01/2026  09:40:00,WYT,LOG 7D,,,,64.0,11.4,CJA,,,,,M,20.0,,,,,
N,BZD1128,BLUTI,6,M,28/01/2026  09:40:00,WYT,LOG 7D,,,,65.0,11.1,AEW,,,,,M,19.6,,,,,
N,BZD1129,BLUTI,5,F,28/01/2026  09:40:00,WYT,LOG 7D,,,,61.0,10.9,CJA,,,,,M,18.9,,,,,
N,BZD1130,BLUTI,5,M,28/01/2026  09:40:00,WYT,LOG 7D,,,,65.0,10.8,AEW,,,,,M,20.1,,,,,
N,BZD1131,BLUTI,5,F,28/01/2026  09:40:00,WYT,LOG 7D,,,,63.0,10.6,CJA,,,,,M,18.7,,,,,
N,BZD1132,BLUTI,5,F,28/01/2026  09:40:00,WYT,LOG 7D,,,,61.0,10.2,AEW,,,,,M,19.2,,,,,
N,BZD1133,BLUTI,5,M,28/01/2026  09:40:00,WYT,LOG 7D,,,,64.0,10.8,CJA,,,,,M,19.5,,,,,
N,BZD1134,BLUTI,5,M,28/01/2026  09:40:00,WYT,LOG 7D,,,,64.0,10.4,CJA,,,,,M,18.9,,,,,
N,BZD1135,BLUTI,5,F,28/01/2026  09:40:00,WYT,LOG 7D,,,,61.0,10.3,AEW,,,,,M,19.9,,,,,
N,BZD1136,BLUTI,5,F,28/01/2026  09:40:00,WYT,LOG 7D,,,,63.0,10.1,CJA,,,,,M,18.9,,,,,
N,BZD1137,BLUTI,5,M,28/01/2026  09:40:00,WYT,LOG 7D,,,,62.0,9.8,AEW,,,,,M,17.8,,,,,
N,BZD1138,BLUTI,5,M,28/01/2026  09:40:00,WYT,LOG 7D,,,,62.0,10.2,CJA,,,,,M,19.7,,,,,
N,BZD1139,ROBIN,5,,28/01/2026  09:40:00,WYT,LOG 7D,,,,77.0,21.0,HRG,,,,,,,,,,,
N,BZD1140,BLUTI,6,M,28/01/2026  09:40:00,WYT,LOG 7D,,,,64.0,11.2,CJA,,,,,M,19.1,,,,,
N,BZD1141,BLUTI,5,F,28/01/2026  09:40:00,WYT,LOG 7D,,,,61.0,10.4,CJA,,,,,M,18.5,,,,,
N,BZD1142,BLUTI,5,F,28/01/2026  11:29:59,WYT,LOG 7D,,,,59.0,9.8,ADR,,,,,M,18.7,,,,,
N,BZD1143,BLUTI,5,M,28/01/2026  11:29:59,WYT,LOG 7D,,,,62.0,10.4,LCB,,,,,M,19.0,,,,,
N,PL91463,GRETI,5,F,07/01/2026  10:09:59,WYT,LOG 2C,,,,73.0,18.2,KMM,,,,,M,22.2,,,,,
N,PL91464,GRETI,5,M,07/01/2026  10:40:00,WYT,LOG 2C,,,,76.0,20.1,KMM,,,,,M,23.1,,,,,
N,PL91465,GRETI,5,F,07/01/2026  11:19:59,WYT,LOG 2C,,,,72.0,17.7,KMM,,,,,M,22.1,,,,,
N,PL91466,DUNNO,5,,14/01/2026  08:29:59,WYT,LOG 2C,,,,66.0,22.0,SPK,,,,,,,,,,,
N,PL91467,NUTHA,4,F,14/01/2026  08:29:59,WYT,LOG 2C,,,,82.0,23.4,CJA,,,,,M,22.6,,,,,
N,PL91468,GRETI,5,M,14/01/2026  08:29:59,WYT,LOG 2C,,,,76.0,18.6,CJA,,,,,M,23.0,,,,,
N,PL91469,NUTHA,5,M,14/01/2026  08:29:59,WYT,LOG 2C,,,,85.0,24.5,CJA,,,,,M,22.9,,,,,
N,PL91470,NUTHA,4,F,14/01/2026  08:29:59,WYT,LOG 2C,,,,83.0,20.0,CJA,,,,,M,21.2,,,,,
N,LC85951,BLABI,6,M,14/01/2026  08:29:59,WYT,LOG 2C,,,,131.0,,SPK,,,,,,,,,,,
N,PL91471,GRETI,5,F,20/01/2026  08:29:59,WYT,LOG 7A,,,,72.0,17.6,CJA,,,,,M,22.7,,,,,
N,PL91472,GRETI,6,F,20/01/2026  08:29:59,WYT,LOG 7A,,,,72.0,18.7,MMM,,,,,M,22.2,,,,,
N,PL91473,NUTHA,4,F,20/01/2026  08:29:59,WYT,LOG 7A,,,,81.0,20.6,CJA,,,,,M,21.9,,,,,
N,PL91474,GRETI,5,F,20/01/2026  08:29:59,WYT,LOG 7A,,,,71.0,17.7,MMM,,,,,M,23.0,,,,,
N,PL91475,GRETI,5,F,20/01/2026  08:29:59,WYT,LOG 7A,,,,71.0,17.7,CJA,,,,,M,23.3,,,,,
N,PL91476,GRETI,5,M,20/01/2026  08:29:59,WYT,LOG 7A,,,,74.0,18.4,MMM,,,,,M,24.0,,,,,
N,PY93620,GREFI,5,F,28/01/2026  08:29:59,WYT,LOG 7C,,,,84.0,25.5,DLI,,,,,,,,,,,
N,PY93621,GRETI,5,M,28/01/2026  08:29:59,WYT,LOG 7C,,,,76.0,18.1,DLI,,,,,M,22.0,,,,,
N,PY93622,GRETI,5,M,28/01/2026  08:29:59,WYT,LOG 7C,,,,79.0,18.7,DLI,,,,,M,23.6,,,,,
N,PY93623,GRETI,5,F,28/01/2026  08:29:59,WYT,LOG 7C,,,,72.0,17.5,DLI,,,,,M,21.0,,,,,
N,PY93624,GRETI,5,F,28/01/2026  08:29:59,WYT,LOG 7C,,,,73.0,18.5,CJA,,,,,M,23.0,,,,,
N,PY93625,GRETI,6,M,28/01/2026  08:29:59,WYT,LOG 7C,,,,76.0,18.9,CJA,,,,,M,23.9,,,,,
N,PY93626,GREFI,5,F,28/01/2026  08:29:59,WYT,LOG 7C,,,,85.0,25.3,AEW,,,,,,,,,,,
N,PY93627,GREFI,6,M,28/01/2026  08:29:59,WYT,LOG 7C,,,,90.0,27.2,IMB,,,,,,,,,,,
N,PY93628,DUNNO,6,,28/01/2026  08:29:59,WYT,LOG 7C,,,,74.0,23.1,CJA,,,,,,,,,,,
R,BZD1222,BLUTI,5,M,07/01/2026  09:30:00,WYT,LOG 2C,,,,65.0,11.2,KMM,,,,,M,18.4,,,,,
R,AJY2746,BLUTI,6,M,07/01/2026  09:30:00,WYT,LOG 2C,,,,65.0,10.7,KMM,,,,,M,19.3,,,,,
R,BZD1327,BLUTI,5,M,07/01/2026  10:09:59,WYT,LOG 2C,,,,64.0,10.7,KMM,,,,,M,19.2,,,,,
R,BZD5414,MARTI,5,,07/01/2026  10:09:59,WYT,LOG 2C,,,,60.0,,KMM,,,,,M,18.7,,,,,
R,BZD0703,BLUTI,5,F,07/01/2026  10:40:00,WYT,LOG 2C,,,,62.0,10.2,KMM,,,,,M,18.7,,,,,
R,BDB5159,COATI,6,,07/01/2026  10:40:00,WYT,LOG 2C,,,,60.0,9.1,KMM,,,,,,,,,,,
R,BZD1102,BLUTI,6,M,07/01/2026  11:19:59,WYT,LOG 2C,,,,65.0,10.6,KMM,,,,,M,18.7,,,,,
R,BZD1119,BLUTI,6,M,07/01/2026  11:19:59,WYT,LOG 2C,,,,65.0,11.6,KMM,,,,,M,19.8,,,,,
R,PY92318,GRETI,5,F,07/01/2026  11:19:59,WYT,LOG 2C,,,,74.0,18.5,KMM,,,,,M,23.1,,,,,
R,BZD5538,BLUTI,6,F,07/01/2026  11:19:59,WYT,LOG 2C,,,,62.0,10.4,KMM,,,,,M,18.2,,,,,
R,BDB5923,BLUTI,5,F,07/01/2026  11:19:59,WYT,LOG 2C,,,,63.0,11.7,KMM,,,,,M,19.0,,,,,
R,TY69940,GRETI,6,M,14/01/2026  08:45:00,WYT,LOG 2C,,,,75.0,18.9,SPK,,,,,M,23.4,,,,,
R,BDB5883,BLUTI,5,F,14/01/2026  08:45:00,WYT,LOG 2C,,,,62.0,,SPK,,,,,M,18.7,,,,,
R,BZD1319,BLUTI,5,M,14/01/2026  08:45:00,WYT,LOG 2C,,,,64.0,12.1,SPK,,,,,M,19.7,,,,,
R,AJY6177,BLUTI,6,M,14/01/2026  08:45:00,WYT,LOG 2C,,,,65.0,11.6,SPK,,,,,M,19.6,,,,,
R,BDB5138,COATI,6,,14/01/2026  09:20:00,WYT,LOG 2C,,,,60.0,8.6,SPK,,,,,,,,,,,
R,BZD2650,BLUTI,6,F,14/01/2026  09:20:00,WYT,LOG 2C,,,,63.0,10.6,CJA,,,,,M,19.0,,,,,
R,BDB5823,BLUTI,5,F,14/01/2026  10:15:00,WYT,LOG 2C,,,,63.0,10.0,CJA,,,,,M,19.0,,,,,
R,BZD1318,BLUTI,5,F,14/01/2026  10:15:00,WYT,LOG 2C,,,,61.0,10.8,SPK,,,,,M,18.5,,,,,
R,BZD0949,BLUTI,5,F,20/01/2026  10:40:00,WYT,LOG 7A,,,,61.0,10.3,CJA,,,,,M,18.5,,,,,
R,BDB5617,BLUTI,5,M,20/01/2026  10:40:00,WYT,LOG 7A,,,,67.0,11.6,MMM,,,,,M,20.1,,,,,
R,BDB5621,BLUTI,5,F,20/01/2026  10:40:00,WYT,LOG 7A,,,,63.0,10.8,CJA,,,,,M,19.1,,,,,
R,BDB5584,BLUTI,5,M,20/01/2026  10:40:00,WYT,LOG 7A,,,,64.0,11.2,CJA,,,,,M,19.8,,,,,
R,BZD1690,COATI,6,M,20/01/2026  10:40:00,WYT,LOG 7A,,,,61.0,9.2,MMM,,,,,M,19.4,,,,,
R,BDB5487,BLUTI,6,M,20/01/2026  10:40:00,WYT,LOG 7A,,,,64.0,11.0,CJA,,,,,M,19.0,,,,,
R,PF71665,NUTHA,6,M,20/01/2026  10:40:00,WYT,LOG 7A,,,,83.0,22.1,MMM,,,,,M,22.0,,,,,
R,PL91295,GRETI,5,M,20/01/2026  10:40:00,WYT,LOG 7A,,,,74.0,19.0,CJA,,,,,M,23.0,,,,,
R,PY94180,GRETI,5,F,20/01/2026  10:40:00,WYT,LOG 7A,,,,73.0,18.9,CJA,,,,,M,22.8,,,,,
R,BZD1661,COATI,6,,20/01/2026  10:40:00,WYT,LOG 7A,,,,59.0,8.6,CJA,,,,,M,19.0,,,,,
R,BZD0997,BLUTI,5,M,20/01/2026  10:40:00,WYT,LOG 7A,,,,64.0,12.3,MMM,,,,,M,19.8,,,,,
R,BZD7854,BLUTI,5,M,20/01/2026  11:25:00,WYT,LOG 7A,,,,63.0,11.6,CJA,,,,,M,20.0,,,,,
R,PY91231,GRETI,5,M,20/01/2026  11:25:00,WYT,LOG 7A,,,,75.0,18.1,CJA,,,,,M,22.5,,,,,
R,BDB5225,BLUTI,5,F,20/01/2026  11:25:00,WYT,LOG 7A,,,,63.0,10.7,HRG,,,,,M,18.9,,,,,
R,PY91230,GRETI,5,M,20/01/2026  11:25:00,WYT,LOG 7A,,,,77.0,18.2,MMM,,,,,M,23.1,,,,,
R,BZD2298,BLUTI,6,F,20/01/2026  11:25:00,WYT,LOG 7A,,,,65.0,11.6,HRG,,,,,M,19.8,,,,,
R,PY91315,GRETI,5,M,20/01/2026  11:25:00,WYT,LOG 7A,,,,76.0,19.5,CJA,,,,,M,23.2,,,,,
R,PY94270,GRETI,5,M,20/01/2026  11:25:00,WYT,LOG 7A,,,,77.0,19.0,CJA,,,,,M,23.4,,,,,
R,BZD2297,BLUTI,6,F,20/01/2026  11:25:00,WYT,LOG 7A,,,,60.0,9.8,HRG,,,,,M,18.6,,,,,
R,BDB5553,BLUTI,5,M,28/01/2026  08:29:59,WYT,LOG 7C,,,,65.0,11.4,JSS,,,,,M,19.3,,,,,
R,BZD1854,BLUTI,6,F,28/01/2026  08:29:59,WYT,LOG 7C,,,,63.0,10.7,JSS,,,,,M,18.5,,,,,
R,BZD3436,BLUTI,5,M,28/01/2026  08:29:59,WYT,LOG 7C,,,,64.0,10.7,JSS,,,,,M,19.8,,,,,
R,BVA5704,BLUTI,6,F,28/01/2026  08:29:59,WYT,LOG 7C,,,,63.0,11.1,CJA,,,,,M,19.1,,,,,
R,BDB5456,BLUTI,5,F,28/01/2026  08:29:59,WYT,LOG 7C,,,,63.0,10.5,JSS,,,,,M,18.5,,,,,
R,PY91247,GRETI,5,M,28/01/2026  08:29:59,WYT,LOG 7C,,,,80.0,20.3,KMM,,,,,M,24.0,,,,,
R,PY93414,GRETI,6,F,28/01/2026  08:29:59,WYT,LOG 7C,,,,,,KMM,,,,,,,,,,,
R,TY68409,GRETI,6,F,28/01/2026  08:29:59,WYT,LOG 7C,,,,75.0,17.8,KMM,,,,,M,22.8,,,,,
R,BZD1851,BLUTI,6,F,28/01/2026  08:29:59,WYT,LOG 7C,,,,64.0,11.6,KMM,,,,,M,18.9,,,,,
R,BZD3151,BLUTI,6,M,28/01/2026  08:29:59,WYT,LOG 7C,,,,63.0,10.3,DLI,,,,,M,19.3,,,,,
R,BZD2402,BLUTI,6,F,28/01/2026  08:29:59,WYT,LOG 7C,,,,62.0,10.0,LCB,,,,,M,18.1,,,,,
R,AJY4296,BLUTI,6,F,28/01/2026  08:29:59,WYT,LOG 7C,,,,65.0,11.8,JSS,,,,,M,18.9,,,,,
R,PY94279,GRETI,5,F,28/01/2026  08:49:59,WYT,LOG 7C,,,,74.0,18.5,IMB,,,,,,,,,,,
R,BZD1853,BLUTI,6,M,28/01/2026  08:49:59,WYT,LOG 7C,,,,66.0,11.1,JSS,,,,,M,19.1,,,,,
R,BZD2108,BLUTI,6,M,28/01/2026  08:49:59,WYT,LOG 7C,,,,68.0,11.5,JSS,,,,,M,19.6,,,,,
R,AJY5803,BLUTI,6,F,28/01/2026  08:49:59,WYT,LOG 7C,,,,60.0,10.4,IMB,,,,,M,18.3,,,,,
R,BZD3035,BLUTI,6,M,28/01/2026  08:49:59,WYT,LOG 7C,,,,66.0,10.1,JSS,,,,,M,19.5,,,,,
R,BDB5616,BLUTI,5,F,28/01/2026  08:49:59,WYT,LOG 7C,,,,61.0,10.9,CJA,,,,,M,19.5,,,,,
R,PY91257,GRETI,6,F,28/01/2026  08:49:59,WYT,LOG 7C,,,,73.0,17.9,IMB,,,,,M,23.0,,,,,
R,PY91230,GRETI,5,M,28/01/2026  08:49:59,WYT,LOG 7C,,,,76.0,17.8,HRG,,,,,M,23.0,,,,,
R,BZD1204,BLUTI,5,F,28/01/2026  08:49:59,WYT,LOG 7C,,,,63.0,11.0,JSS,,,,,M,18.5,,,,,
R,TW41996,GRETI,5,M,28/01/2026  08:49:59,WYT,LOG 7C,,,,74.0,20.0,IMB,,,,,M,24.0,,,,,
R,BZD1669,BLUTI,6,F,28/01/2026  08:49:59,WYT,LOG 7C,,,,64.0,10.6,JSS,,,,,M,19.0,,,,,
R,BAC0697,BLUTI,6,M,28/01/2026  08:49:59,WYT,LOG 7C,,,,65.0,11.0,IMB,,,,,M,18.8,,,,,
R,BZD2458,BLUTI,6,M,28/01/2026  08:49:59,WYT,LOG 7C,,,,67.0,10.9,JSS,,,,,M,18.6,,,,,
R,PY93622,GRETI,5,M,28/01/2026  08:49:59,WYT,LOG 7C,,,,76.0,18.5,IMB,,,,,M,24.0,,,,,
R,PY91267,GRETI,6,F,28/01/2026  08:49:59,WYT,LOG 7C,,,,74.0,16.5,JSS,,,,,M,22.2,,,,,
R,BZD3419,BLUTI,5,M,28/01/2026  08:49:59,WYT,LOG 7C,,,,66.0,11.1,JSS,,,,,M,18.5,,,,,
R,AJY4390,BLUTI,6,M,28/01/2026  08:49:59,WYT,LOG 7C,,,,64.0,10.8,ADR,,,,,M,19.0,,,,,
