"","ring","Pnum","year","sex","unique2","weight","tarsus","wing_l","age","date"
"1","BP78506","19731C118",1973,"M","19731C118_BP78506",20.6,NA,80,"5","03/04/1973"
"2","BP78513","19731C124",1973,"M","19731C124_BP78513",18.9,NA,76,"5","03/04/1973"
"3","BH18345","19731C63",1973,"M","19731C63_BH18345",18.8,NA,76,"6","03/04/1973"
"4","BP11821","19751B79",1975,"M","19751B79_BP11821",20.5,NA,79,"6","17/06/1975"
"5","NC11176","19811C125",1981,"M","19811C125_NC11176",17.4,NA,75,"5","14/06/1981"
"6","NE93388","19821P15",1982,"M","19821P15_NE93388",18.4,NA,76,"5","01/04/1982"
"7","NE93677","19861B18",1986,"M","19861B18_NE93677",19.2,NA,75.5,"6","16/04/1986"
"8","NN86624","19861P21",1986,"M","19861P21_NN86624",19.7,NA,NA,"5","03/04/1986"
"9","NN88466","19881B201",1988,"M","19881B201_NN88466",18.5,NA,76,"5","02/06/1988"
"10","VS84629","20031B108",2003,"M","20031B108_VS84629",17.4,NA,77,"6","29/05/2003"
"11","TA16048","20031B139",2003,"M","20031B139_TA16048",18.9,NA,77,"5","09/06/2003"
"12","VT33853","20031B147",2003,"M","20031B147_VT33853",18,NA,76,"5","01/06/2003"
"13","TA16398","20031B150",2003,"M","20031B150_TA16398",19.5,NA,76,"5","20/05/2003"
"14","VT34371","20031B156",2003,"M","20031B156_VT34371",19.9,NA,75.5,"6","15/05/2003"
"15","VT33441","20031B214",2003,"M","20031B214_VT33441",17.9,NA,74.5,"5","27/05/2003"
"16","VS83127","20031B223",2003,"M","20031B223_VS83127",17,NA,78,"6","29/05/2003"
"17","TA16488","20031B226",2003,"M","20031B226_TA16488",17.6,NA,76,"5","27/05/2003"
"18","TA16274","20031B25",2003,"M","20031B25_TA16274",19,NA,74,"5","02/06/2003"
"19","TA16544","20031B49",2003,"M","20031B49_TA16544",19.1,NA,75,"5","20/05/2003"
"20","TA16467","20031B53",2003,"M","20031B53_TA16467",18.4,NA,78,"5","05/06/2003"
"21","TA15522","20031B62A",2003,"M","20031B62A_TA15522",18.4,NA,77,"5","20/05/2003"
"22","TA16031","20031B69",2003,"M","20031B69_TA16031",17.4,NA,76,"5","21/05/2003"
"23","K578047","20031B78",2003,"M","20031B78_K578047",18.3,NA,79,"6","31/05/2003"
"24","TA16125","20031B99A",2003,"M","20031B99A_TA16125",18.6,NA,74,"5","06/06/2003"
"25","VN85433","20031C158",2003,"M","20031C158_VN85433",19.1,23,76,"6","12/05/2003"
"26","R639011","20031MP14",2003,"M","20031MP14_R639011",17.4,NA,75,"5","23/05/2003"
"27","VS84545","20031MP20",2003,"M","20031MP20_VS84545",18.8,NA,75,"6","21/05/2003"
"28","TA16103","20031MP24",2003,"M","20031MP24_TA16103",17.4,NA,74,"5","18/05/2003"
"29","TA16239","20031MP25",2003,"M","20031MP25_TA16239",18.6,NA,77,"5","25/05/2003"
"30","K578621","20031MP27",2003,"M","20031MP27_K578621",19.8,NA,78,"6","23/05/2003"
"31","TA16230","20031MP32",2003,"M","20031MP32_TA16230",19.1,NA,74,"5","23/05/2003"
"32","VS84537","20031MP34",2003,"M","20031MP34_VS84537",19.8,NA,78,"6","25/05/2003"
"33","K578622","20031MP35",2003,"M","20031MP35_K578622",18.3,NA,78.5,"6","15/05/2003"
"34","VX12166","20031MP37",2003,"M","20031MP37_VX12166",18.6,NA,77,"6","29/05/2003"
"35","K578616","20031MP41",2003,"M","20031MP41_K578616",18.9,NA,76,"6","23/05/2003"
"36","TA16164","20031MP42",2003,"M","20031MP42_TA16164",17.2,NA,75,"5","09/06/2003"
"37","TA16299","20031MP45",2003,"M","20031MP45_TA16299",18.6,NA,77,"5","18/05/2003"
"38","TA16067","20031MP46",2003,"M","20031MP46_TA16067",18.4,NA,75,"5","24/05/2003"
"39","TA16115","20031MP48",2003,"M","20031MP48_TA16115",18.2,NA,76,"5","16/05/2003"
"40","K604575","20031MP49",2003,"M","20031MP49_K604575",17.8,NA,78,"6","23/05/2003"
"41","R639001","20031MP51",2003,"M","20031MP51_R639001",17.7,NA,74,"6","16/05/2003"
"42","TA16234","20031MP52",2003,"M","20031MP52_TA16234",18.6,NA,75,"5","23/05/2003"
"43","TA15071","20031MP55",2003,"M","20031MP55_TA15071",18.8,NA,75,"5","30/05/2003"
"44","R639008","20031MP62",2003,"M","20031MP62_R639008",18.5,NA,77.5,"5","21/05/2003"
"45","VS83831","20031MP63",2003,"M","20031MP63_VS83831",18.2,NA,78,"6","16/05/2003"
"46","TA16116","20031MP70",2003,"M","20031MP70_TA16116",17.6,NA,76,"5","21/05/2003"
"47","VR91661","20031MP71",2003,"M","20031MP71_VR91661",19.7,NA,79,"6","29/05/2003"
"48","TA16176","20031MP73",2003,"M","20031MP73_TA16176",18.4,NA,75,"5","11/05/2003"
"49","VS84536","20031MP77",2003,"M","20031MP77_VS84536",18,NA,79,"6","11/05/2003"
"50","TA16463","20031MP78",2003,"M","20031MP78_TA16463",18.2,NA,77,"5","16/05/2003"
"51","VS84548","20031MP79",2003,"M","20031MP79_VS84548",19.5,NA,76,"6","11/05/2003"
"52","TA16427","20031MP86",2003,"M","20031MP86_TA16427",18.6,NA,76,"5","18/05/2003"
"53","TA16008","20031P12",2003,"M","20031P12_TA16008",18.6,NA,76,"5","02/06/2003"
"54","TA16399","20031P13",2003,"M","20031P13_TA16399",18.2,NA,76,"5","21/05/2003"
"55","TA15099","20031P16",2003,"M","20031P16_TA15099",16.8,NA,76,"5","28/05/2003"
"56","TA16966","20031P17",2003,"M","20031P17_TA16966",18.2,NA,76,"5","28/05/2003"
"57","N200119","20031P24",2003,"M","20031P24_N200119",18.1,NA,79,"6","05/06/2003"
"58","VN87383","20031P4",2003,"M","20031P4_VN87383",18.4,NA,76,"6","29/05/2003"
"59","TA16392","20031P6",2003,"M","20031P6_TA16392",18.2,NA,76,"5","26/05/2003"
"60","TA15516","20031P7",2003,"M","20031P7_TA15516",18.6,NA,74.5,"5","26/05/2003"
"61","P439208","20041B199",2004,"M","20041B199_P439208",18.8,NA,74.5,"5","17/05/2004"
"62","TC58907","20051B105",2005,"M","20051B105_TC58907",18.2,NA,75,"5","25/05/2005"
"63","VF63778","20051B107",2005,"M","20051B107_VF63778",18.4,NA,75,"5","19/05/2005"
"64","VF63794","20051B136",2005,"M","20051B136_VF63794",17.3,NA,72.5,"5","27/05/2005"
"65","TB26068","20051B14",2005,"M","20051B14_TB26068",18.9,NA,75,"5","25/05/2005"
"66","VS84713","20051B140",2005,"M","20051B140_VS84713",18.9,NA,76,"6","17/05/2005"
"67","TB26071","20051B141",2005,"M","20051B141_TB26071",18.5,NA,73,"5","27/05/2005"
"68","A225362","20051B145",2005,"M","20051B145_A225362",19,NA,76,"5","20/05/2005"
"69","TB26298","20051B159",2005,"M","20051B159_TB26298",19.4,NA,75,"5","29/05/2005"
"70","TB26336","20051B161",2005,"M","20051B161_TB26336",18.5,NA,74.5,"5","22/05/2005"
"71","TA15058","20051B162",2005,"M","20051B162_TA15058",17.9,NA,76,"6","23/05/2005"
"72","VF63817","20051B168",2005,"M","20051B168_VF63817",18.6,NA,77.5,"5","26/05/2005"
"73","TB26287","20051B174",2005,"M","20051B174_TB26287",18.8,NA,75,"5","01/06/2005"
"74","T550071","20051B186",2005,"M","20051B186_T550071",18.6,NA,75,"5","30/05/2005"
"75","VF63481","20051B188",2005,"M","20051B188_VF63481",19.8,NA,76,"5","14/05/2005"
"76","T640003","20051B189",2005,"M","20051B189_T640003",18.3,NA,77,"5","27/05/2005"
"77","T640001","20051B190",2005,"M","20051B190_T640001",18,NA,75,"6","14/05/2005"
"78","TA16514","20051B192",2005,"M","20051B192_TA16514",19.1,NA,78,"6","20/05/2005"
"79","TB26193","20051B194A",2005,"M","20051B194A_TB26193",19,NA,72,"5","16/05/2005"
"80","TB26306","20051B2",2005,"M","20051B2_TB26306",18,NA,78,"5","28/05/2005"
"81","TB21648","20051B201",2005,"M","20051B201_TB21648",19,NA,78,"6","21/05/2005"
"82","VF63499","20051B205",2005,"M","20051B205_VF63499",19.4,NA,78,"5","01/06/2005"
"83","TA16440","20051B21",2005,"M","20051B21_TA16440",19.2,NA,79,"6","19/05/2005"
"84","TC58715","20051B211",2005,"M","20051B211_TC58715",19.1,NA,75.5,"5","22/05/2005"
"85","K578047","20051B212",2005,"M","20051B212_K578047",18.5,NA,77.5,"6","20/05/2005"
"86","T550029","20051B214",2005,"M","20051B214_T550029",20.1,NA,76,"5","31/05/2005"
"87","K578057","20051B217",2005,"M","20051B217_K578057",18.5,NA,78,"6","31/05/2005"
"88","TC58056","20051B220",2005,"M","20051B220_TC58056",18.9,NA,77,"5","23/05/2005"
"89","P812095","20051B221",2005,"M","20051B221_P812095",18.1,NA,77,"5","27/05/2005"
"90","A225413","20051B222",2005,"M","20051B222_A225413",18,NA,78,"5","03/06/2005"
"91","TB21528","20051B223",2005,"M","20051B223_TB21528",18.3,NA,78,"6","27/05/2005"
"92","TC58902","20051B225",2005,"M","20051B225_TC58902",18.8,NA,74,"5","27/05/2005"
"93","T550024","20051B226",2005,"M","20051B226_T550024",19.4,NA,75,"5","20/05/2005"
"94","TB21524","20051B23",2005,"M","20051B23_TB21524",15.8,NA,77,"6","13/05/2005"
"95","TB26267","20051B24",2005,"M","20051B24_TB26267",19.8,NA,76,"5","27/05/2005"
"96","F938642","20051B27",2005,"M","20051B27_F938642",18.7,NA,77,"6","19/05/2005"
"97","TC58017","20051B31",2005,"M","20051B31_TC58017",17.3,NA,76,"5","23/05/2005"
"98","VF63736","20051B48",2005,"M","20051B48_VF63736",17.8,NA,76,"5","20/05/2005"
"99","VF63735","20051B49",2005,"M","20051B49_VF63735",19.1,NA,75,"5","22/05/2005"
"100","P439257","20051B56",2005,"M","20051B56_P439257",19.1,NA,77,"6","20/05/2005"
"101","VF63762","20051B58",2005,"M","20051B58_VF63762",18.2,NA,76,"5","01/06/2005"
"102","TC58183","20051B67",2005,"M","20051B67_TC58183",19.1,NA,75,"5","19/05/2005"
"103","TA15836","20051B70",2005,"M","20051B70_TA15836",19.7,NA,74.5,"5","25/05/2005"
"104","TB26305","20051B72",2005,"M","20051B72_TB26305",16.6,NA,73,"5","26/05/2005"
"105","P812096","20051B80A",2005,"M","20051B80A_P812096",17.6,NA,76,"5","31/05/2005"
"106","P439268","20051B81",2005,"M","20051B81_P439268",18.6,NA,73.5,"5","20/05/2005"
"107","TA16269","20051B85",2005,"M","20051B85_TA16269",19.7,NA,76,"6","24/05/2005"
"108","A225382","20051B89",2005,"M","20051B89_A225382",18.6,NA,73,"5","27/05/2005"
"109","VF63423","20051B97",2005,"M","20051B97_VF63423",19.8,NA,78,"5","30/05/2005"
"110","VF63414","20051C1",2005,"M","20051C1_VF63414",18.3,NA,75,"5","20/05/2005"
"111","VT34682","20051C10",2005,"M","20051C10_VT34682",20.8,NA,77,"6","12/05/2005"
"112","VR98163","20051C104",2005,"M","20051C104_VR98163",18.9,NA,72,"5","01/06/2005"
"113","F952467","20051C107",2005,"M","20051C107_F952467",19,NA,75,"5","07/06/2005"
"114","VT34683","20051C109",2005,"M","20051C109_VT34683",18.9,NA,78,"6","12/05/2005"
"115","TA15124","20051C11",2005,"M","20051C11_TA15124",19.7,NA,74,"6","16/05/2005"
"116","VR98112","20051C110",2005,"M","20051C110_VR98112",17.5,NA,73.1,"5","26/05/2005"
"117","H300063","20051C113",2005,"M","20051C113_H300063",18.8,NA,NA,"6","17/06/2005"
"118","N200664","20051C127",2005,"M","20051C127_N200664",19.5,NA,75,"6","24/05/2005"
"119","VR98143","20051C130",2005,"M","20051C130_VR98143",19.4,NA,77,"5","16/05/2005"
"120","VF63745","20051C137",2005,"M","20051C137_VF63745",18,NA,77,"5","13/05/2005"
"121","H300063","20051C14",2005,"M","20051C14_H300063",18.8,NA,NA,"6","17/06/2005"
"122","VF63896","20051C141",2005,"M","20051C141_VF63896",17.5,NA,73,"5","26/05/2005"
"123","F952454","20051C143",2005,"M","20051C143_F952454",18.1,NA,77,"5","13/05/2005"
"124","VF63882","20051C145",2005,"M","20051C145_VF63882",19,NA,75.1,"5","17/05/2005"
"125","F952456","20051C148",2005,"M","20051C148_F952456",18,NA,76,"6","16/05/2005"
"126","H300025","20051C149",2005,"M","20051C149_H300025",19.5,NA,77,"6","16/05/2005"
"127","F952455","20051C150",2005,"M","20051C150_F952455",18.8,NA,75,"5","13/05/2005"
"128","TA15087","20051C151",2005,"M","20051C151_TA15087",18.4,NA,76,"6","16/05/2005"
"129","F952463","20051C153",2005,"M","20051C153_F952463",19.1,NA,76,"6","19/05/2005"
"130","R040195","20051C155",2005,"M","20051C155_R040195",17.3,NA,76,"6","16/05/2005"
"131","H300043","20051C16",2005,"M","20051C16_H300043",19.1,NA,77,"6","19/05/2005"
"132","TB26668","20051C160A",2005,"M","20051C160A_TB26668",17.7,NA,73.35,"5","20/05/2005"
"133","TB26555","20051C160B",2005,"M","20051C160B_TB26555",18.4,NA,75,"5","20/05/2005"
"134","TA15118","20051C163",2005,"M","20051C163_TA15118",18.2,NA,74,"6","12/05/2005"
"135","F952465","20051C18",2005,"M","20051C18_F952465",17.7,NA,77,"5","19/05/2005"
"136","TA15137","20051C20",2005,"M","20051C20_TA15137",19,NA,74.5,"6","16/05/2005"
"137","VF63850","20051C24A",2005,"M","20051C24A_VF63850",18,NA,76.4,"5","13/05/2005"
"138","VR98200","20051C26",2005,"M","20051C26_VR98200",18.8,NA,75.5,"5","23/05/2005"
"139","H300069","20051C28",2005,"M","20051C28_H300069",19.1,NA,74.9,"6","13/05/2005"
"140","H300061","20051C33",2005,"M","20051C33_H300061",19.1,NA,74.5,"6","13/05/2005"
"141","R040194","20051C41",2005,"M","20051C41_R040194",19.6,NA,74,"6","17/06/2005"
"142","H300041","20051C52",2005,"M","20051C52_H300041",19.2,NA,78,"6","16/05/2005"
"143","TA15136","20051C58",2005,"M","20051C58_TA15136",17.8,NA,72,"6","03/06/2005"
"144","VN57479","20051C61A",2005,"M","20051C61A_VN57479",19,NA,77,"6","17/05/2005"
"145","VF63401","20051C7",2005,"M","20051C7_VF63401",17.7,NA,76,"5","18/05/2005"
"146","VN85492","20051C9",2005,"M","20051C9_VN85492",18,NA,76,"6","18/05/2005"
"147","TB26601","20051CP1",2005,"M","20051CP1_TB26601",19.1,NA,76,"5","29/05/2005"
"148","P439158","20051CP10",2005,"M","20051CP10_P439158",19.2,NA,76,"6","23/05/2005"
"149","E985096","20051CP11",2005,"M","20051CP11_E985096",18.3,NA,74,"5","29/05/2005"
"150","N200584","20051CP15",2005,"M","20051CP15_N200584",18.5,NA,77,"6","23/05/2005"
"151","TB26623","20051CP19",2005,"M","20051CP19_TB26623",18.1,NA,75,"5","23/05/2005"
"152","TC58573","20051CP2",2005,"M","20051CP2_TC58573",18.9,NA,76.5,"5","23/05/2005"
"153","TA15484","20051CP21",2005,"M","20051CP21_TA15484",20.1,NA,77,"6","23/05/2005"
"154","P439143","20051CP22",2005,"M","20051CP22_P439143",19.2,NA,77,"6","23/05/2005"
"155","TC58568","20051CP23",2005,"M","20051CP23_TC58568",18.8,NA,77,"5","28/05/2005"
"156","T176401","20051CP24",2005,"M","20051CP24_T176401",18.4,NA,75,"5","28/05/2005"
"157","TC58123","20051CP25",2005,"M","20051CP25_TC58123",19.1,NA,76,"5","28/05/2005"
"158","VX13726","20051CP27",2005,"M","20051CP27_VX13726",20.9,NA,78,"6","28/05/2005"
"159","N200909","20051CP3",2005,"M","20051CP3_N200909",18.3,NA,75,"5","04/06/2005"
"160","VS84968","20051CP30",2005,"M","20051CP30_VS84968",19.8,NA,77,"6","28/05/2005"
"161","T176396","20051CP33",2005,"M","20051CP33_T176396",17.7,NA,76,"5","23/05/2005"
"162","T177501","20051CP35",2005,"M","20051CP35_T177501",19.1,NA,77.5,"6","25/05/2005"
"163","E985078","20051CP36",2005,"M","20051CP36_E985078",18.2,NA,76,"5","25/05/2005"
"164","TC58196","20051CP38",2005,"M","20051CP38_TC58196",18.6,NA,76,"5","30/05/2005"
"165","VS83115","20051CP39",2005,"M","20051CP39_VS83115",20.8,NA,77,"6","23/05/2005"
"166","VF64655","20051CP4",2005,"M","20051CP4_VF64655",19.2,NA,79,"6","16/05/2005"
"167","P439190","20051CP40A",2005,"M","20051CP40A_P439190",18.5,NA,77,"6","28/05/2005"
"168","E985067","20051CP41",2005,"M","20051CP41_E985067",18.8,NA,77,"5","23/05/2005"
"169","E985093","20051CP43",2005,"M","20051CP43_E985093",18.5,NA,76,"5","28/05/2005"
"170","TC58521","20051CP5",2005,"M","20051CP5_TC58521",19.1,NA,76.5,"5","23/05/2005"
"171","VR91236","20051CP5B",2005,"M","20051CP5B_VR91236",20.5,NA,76,"6","23/05/2005"
"172","VF63851","20051EX1",2005,"M","20051EX1_VF63851",16.7,NA,76,"5","20/05/2005"
"173","E985091","20051EX11",2005,"M","20051EX11_E985091",18.5,NA,77,"5","27/05/2005"
"174","E985092","20051EX12A",2005,"M","20051EX12A_E985092",19.1,NA,74,"5","27/05/2005"
"175","VT33691","20051EX14A",2005,"M","20051EX14A_VT33691",18.9,NA,76,"6","27/05/2005"
"176","E985052","20051EX17",2005,"M","20051EX17_E985052",18.8,NA,75,"5","20/05/2005"
"177","T177505","20051EX18A",2005,"M","20051EX18A_T177505",17.8,NA,76,"6","20/05/2005"
"178","N200903","20051EX19",2005,"M","20051EX19_N200903",17.6,NA,73,"5","01/06/2005"
"179","TB26378","20051EX22",2005,"M","20051EX22_TB26378",19.9,NA,76.5,"5","20/05/2005"
"180","P439131","20051EX26",2005,"M","20051EX26_P439131",19.9,NA,75.5,"6","24/05/2005"
"181","N200587","20051EX29A",2005,"M","20051EX29A_N200587",18.4,NA,75.5,"6","18/05/2005"
"182","VT33944","20051EX3",2005,"M","20051EX3_VT33944",18.6,NA,77,"6","26/05/2005"
"183","VS83666","20051EX31",2005,"M","20051EX31_VS83666",18.2,NA,75,"6","20/05/2005"
"184","T550140","20051EX31A",2005,"M","20051EX31A_T550140",17.4,NA,77,"6","18/05/2005"
"185","TC58178","20051EX33",2005,"M","20051EX33_TC58178",18.8,NA,79,"5","18/05/2005"
"186","H300611","20051EX36",2005,"M","20051EX36_H300611",17.6,NA,77,"5","18/05/2005"
"187","E985050","20051EX39A",2005,"M","20051EX39A_E985050",18.6,NA,75,"6","20/05/2005"
"188","TC58154","20051EX39C",2005,"M","20051EX39C_TC58154",18,NA,76,"5","20/05/2005"
"189","T177596","20051EX4",2005,"M","20051EX4_T177596",18.1,NA,75,"5","26/05/2005"
"190","T177579","20051EX40",2005,"M","20051EX40_T177579",18.2,NA,77,"5","31/05/2005"
"191","T177600","20051EX41B",2005,"M","20051EX41B_T177600",21.2,NA,77,"5","28/05/2005"
"192","TC58220","20051EX41C",2005,"M","20051EX41C_TC58220",18.5,NA,74,"5","31/05/2005"
"193","H300640","20051EX42",2005,"M","20051EX42_H300640",18.3,NA,75,"5","20/05/2005"
"194","H300634","20051EX43A",2005,"M","20051EX43A_H300634",18.4,NA,76.5,"5","31/05/2005"
"195","N200859","20051EX43C",2005,"M","20051EX43C_N200859",18.8,NA,77,"6","25/05/2005"
"196","TB26643","20051EX43D",2005,"M","20051EX43D_TB26643",18.7,NA,73.5,"5","25/05/2005"
"197","TA16793","20051EX43E",2005,"M","20051EX43E_TA16793",19.3,NA,80,"6","25/05/2005"
"198","H300627","20051EX44",2005,"M","20051EX44_H300627",17.7,NA,76,"5","27/05/2005"
"199","TC58394","20051EX47",2005,"M","20051EX47_TC58394",18.1,NA,76.5,"5","31/05/2005"
"200","R040133","20051EX47A",2005,"M","20051EX47A_R040133",19.6,NA,76,"6","26/05/2005"
"201","H300687","20051EX48",2005,"M","20051EX48_H300687",19.9,NA,79,"5","25/05/2005"
"202","H300623","20051EX49A",2005,"M","20051EX49A_H300623",19,NA,77,"5","25/05/2005"
"203","TC58504","20051EX49B",2005,"M","20051EX49B_TC58504",18.7,NA,74,"5","18/05/2005"
"204","TC58340","20051EX5",2005,"M","20051EX5_TC58340",19.7,NA,74,"5","20/05/2005"
"205","VF63055","20051EX51",2005,"M","20051EX51_VF63055",17.4,NA,74,"6","31/05/2005"
"206","T176404","20051EX51C",2005,"M","20051EX51C_T176404",17.8,NA,75,"5","26/05/2005"
"207","TB26577","20051EX51D",2005,"M","20051EX51D_TB26577",17.9,NA,76,"5","23/05/2005"
"208","R040056","20051EX54",2005,"M","20051EX54_R040056",18.8,NA,78,"6","25/05/2005"
"209","R999452","20051EX55",2005,"M","20051EX55_R999452",18.7,NA,76,"5","25/05/2005"
"210","TB26213","20051EX56",2005,"M","20051EX56_TB26213",18.6,NA,75.5,"5","25/05/2005"
"211","TB26361","20051EX59",2005,"M","20051EX59_TB26361",19.2,NA,74,"5","28/05/2005"
"212","E985083","20051EX5A",2005,"M","20051EX5A_E985083",19.5,NA,77,"5","26/05/2005"
"213","E985095","20051EX61",2005,"M","20051EX61_E985095",18.5,NA,76,"5","28/05/2005"
"214","VT33486","20051EX62",2005,"M","20051EX62_VT33486",17.4,NA,75,"6","25/05/2005"
"215","T176477","20051EX62A",2005,"M","20051EX62A_T176477",18.2,NA,74,"5","25/05/2005"
"216","E985080","20051EX62E",2005,"M","20051EX62E_E985080",18,NA,75,"5","25/05/2005"
"217","VF63478","20051EX62F",2005,"M","20051EX62F_VF63478",18,NA,76,"5","25/05/2005"
"218","VT33790","20051EX63",2005,"M","20051EX63_VT33790",19.4,NA,79,"6","18/05/2005"
"219","TC58041","20051EX64",2005,"M","20051EX64_TC58041",18.6,NA,76.5,"5","25/05/2005"
"220","VT34285","20051EX65",2005,"M","20051EX65_VT34285",19.4,NA,76,"6","28/05/2005"
"221","N200532","20051EX67",2005,"M","20051EX67_N200532",19.4,NA,78,"6","26/05/2005"
"222","VT33693","20051EX69",2005,"M","20051EX69_VT33693",18.5,NA,76.5,"6","01/06/2005"
"223","E985084","20051EX72",2005,"M","20051EX72_E985084",18.2,NA,76.5,"5","26/05/2005"
"224","E985087","20051EX73A",2005,"M","20051EX73A_E985087",17.8,NA,76,"5","26/05/2005"
"225","E985085","20051EX74",2005,"M","20051EX74_E985085",18.7,NA,77,"5","26/05/2005"
"226","VT33379","20051EX75A",2005,"M","20051EX75A_VT33379",19.4,NA,76,"6","26/05/2005"
"227","R040159","20051EX77",2005,"M","20051EX77_R040159",18.4,NA,76.5,"6","26/05/2005"
"228","P439151","20051EX78",2005,"M","20051EX78_P439151",18.6,NA,77.5,"6","26/05/2005"
"229","N200907","20051EX8",2005,"M","20051EX8_N200907",18.1,NA,77,"5","02/06/2005"
"230","VR27836","20051EX80",2005,"M","20051EX80_VR27836",17.2,NA,77,"6","01/06/2005"
"231","N200902","20051EX84",2005,"M","20051EX84_N200902",17.9,NA,76.5,"5","01/06/2005"
"232","TC58094","20051EX90",2005,"M","20051EX90_TC58094",20,NA,74,"5","26/05/2005"
"233","T640307","20051O10",2005,"M","20051O10_T640307",18.5,NA,76,"5","20/05/2005"
"234","VF63930","20051O101",2005,"M","20051O101_VF63930",19.2,NA,78,"5","27/05/2005"
"235","T550176","20051O103",2005,"M","20051O103_T550176",19,NA,75,"5","25/05/2005"
"236","T550182","20051O104",2005,"M","20051O104_T550182",19,NA,74,"5","01/06/2005"
"237","F952926","20051O112",2005,"M","20051O112_F952926",19.4,NA,76,"6","26/05/2005"
"238","T177510","20051O113",2005,"M","20051O113_T177510",18.1,NA,76,"6","18/05/2005"
"239","TA15833","20051O118",2005,"M","20051O118_TA15833",18.4,NA,74.5,"5","18/05/2005"
"240","T177580","20051O14",2005,"M","20051O14_T177580",18.7,NA,77.5,"5","24/05/2005"
"241","VF63966","20051O19",2005,"M","20051O19_VF63966",19.3,NA,77.5,"5","19/05/2005"
"242","T640312","20051O21",2005,"M","20051O21_T640312",17.1,NA,75.5,"6","22/05/2005"
"243","T640310","20051O23",2005,"M","20051O23_T640310",17.3,NA,74,"5","22/05/2005"
"244","VF63084","20051O24",2005,"M","20051O24_VF63084",18,NA,75,"6","18/05/2005"
"245","N199009","20051O27",2005,"M","20051O27_N199009",19.1,NA,78,"6","20/05/2005"
"246","T176417","20051O27A",2005,"M","20051O27A_T176417",19,NA,74.5,"5","26/05/2005"
"247","TB26517","20051O28",2005,"M","20051O28_TB26517",18,NA,77,"5","20/05/2005"
"248","TA16833","20051O29",2005,"M","20051O29_TA16833",18.3,NA,75,"6","18/05/2005"
"249","TC58095","20051O30A",2005,"M","20051O30A_TC58095",20,NA,NA,"5","25/05/2005"
"250","T550177","20051O33",2005,"M","20051O33_T550177",18.6,NA,75,"5","25/05/2005"
"251","F952901","20051O36",2005,"M","20051O36_F952901",18.7,NA,76,"6","15/05/2005"
"252","R040085","20051O38A",2005,"M","20051O38A_R040085",19.1,NA,76,"6","16/05/2005"
"253","TC58407","20051O39",2005,"M","20051O39_TC58407",18.6,NA,75,"5","27/05/2005"
"254","N200043","20051O41",2005,"M","20051O41_N200043",19.5,NA,77,"6","15/05/2005"
"255","T550161","20051O43",2005,"M","20051O43_T550161",18.9,NA,76,"5","15/05/2005"
"256","T640317","20051O49",2005,"M","20051O49_T640317",18.1,NA,76,"5","25/05/2005"
"257","K578959","20051O5",2005,"M","20051O5_K578959",17.2,NA,75.5,"6","20/05/2005"
"258","T550149","20051O52",2005,"M","20051O52_T550149",19.4,NA,76.5,"5","11/04/2005"
"259","VF63852","20051O53",2005,"M","20051O53_VF63852",17.9,NA,77,"5","20/05/2005"
"260","T640313","20051O54",2005,"M","20051O54_T640313",18.1,NA,77,"6","23/05/2005"
"261","VT34174","20051O60",2005,"M","20051O60_VT34174",18.9,NA,77,"6","24/05/2005"
"262","VT33893","20051O61",2005,"M","20051O61_VT33893",20.1,NA,75,"6","16/05/2005"
"263","N199008","20051O63",2005,"M","20051O63_N199008",20.5,NA,77.5,"6","27/05/2005"
"264","TA15843","20051O64",2005,"M","20051O64_TA15843",18.5,NA,76,"5","21/05/2005"
"265","VF63463","20051O65",2005,"M","20051O65_VF63463",19.3,NA,76,"5","21/05/2005"
"266","T550165","20051O74",2005,"M","20051O74_T550165",19.4,NA,77.5,"5","20/05/2005"
"267","TA15607","20051O75",2005,"M","20051O75_TA15607",18.6,NA,76,"6","23/05/2005"
"268","T550166","20051O76",2005,"M","20051O76_T550166",18.5,NA,75.5,"5","20/05/2005"
"269","TA16959","20051O8",2005,"M","20051O8_TA16959",19,NA,79,"6","18/05/2005"
"270","TB26583","20051O81",2005,"M","20051O81_TB26583",17.5,NA,75.5,"5","20/05/2005"
"271","TC58491","20051O82",2005,"M","20051O82_TC58491",17.4,NA,76.5,"5","24/05/2005"
"272","T550175","20051O83",2005,"M","20051O83_T550175",17.5,NA,75,"5","25/05/2005"
"273","K578978","20051O85",2005,"M","20051O85_K578978",19.6,NA,76,"6","03/06/2005"
"274","TB26579","20051O86",2005,"M","20051O86_TB26579",18.2,NA,76.5,"5","25/05/2005"
"275","T550162","20051O9",2005,"M","20051O9_T550162",18.2,NA,76.5,"5","16/05/2005"
"276","T550163","20051O95",2005,"M","20051O95_T550163",17.8,NA,75,"5","18/05/2005"
"277","TA15522","20051P10",2005,"M","20051P10_TA15522",18.3,NA,73.5,"6","24/05/2005"
"278","VF63738","20051P12",2005,"M","20051P12_VF63738",18.5,NA,75,"5","21/05/2005"
"279","TA16399","20051P13",2005,"M","20051P13_TA16399",18,NA,77,"6","24/05/2005"
"280","VF63169","20051P14",2005,"M","20051P14_VF63169",18.5,NA,77,"6","21/05/2005"
"281","TA15099","20051P15",2005,"M","20051P15_TA15099",17,NA,77,"6","17/05/2005"
"282","P812087","20051P22",2005,"M","20051P22_P812087",17.8,NA,76,"6","26/05/2005"
